Am Kirchthore;Aegeter;Alf.;;Teppichhaus;Gose'sche Erben;Fabrik landwirtschaftl. Maschinen F. Zimmermann & Co. Akt.Ges.;;Amts Werwalter;;BM2;;;Küper
Am Kirchtor;Aehle;Alfons;;Verband der Landsmannschaft;Grosse'sche Erben;Franckesche Stiftungen;;Amtsdiener;;BM3;;;Kupferschmidt
Am Krähenberg;Aehlig;Alfonso;;Versicherungsgesellsch. a. G.;Günthersche Erben;Frauenvereinz. Armen-u.Krankenpflege;;Amtsger. Assistent;;BM4;;;Kürschner
Am Luckenteiche;Aepfler;Alfr.;;Weingroßhdlg.;Günther'sche Erben;Friedmann & Co. Bankgesch.;;Amtsger. Assistww.;;BMJ1;;;Küster
Am Martinsberg;Agde;Alfred;;z. h. Elisabeth;Gutschow'sche Erben;Gaswerk Giebichenstein A.G.;;Amtsger. Kanzlist;;BMJ2;;;Kutscher
Am Moritzkirchhof;Agricola;Almin;;Zimmermann & Co.;Güttner'sche Erben;Gefängnisgesellschaft f. d. Prov. Sachsen u. d. Herzogt. Anhalt;;Amtsger. Rat;;BMJ3;;;Lehrer
Am Moritzthor;Agte;Alois;;Zuckerwrfbrk.;Hackemesser'sche Erben;Gemeinnützige Bangesellschaft Akt. Ges.;;Amtsger. Rat a. D.;;BMV;;;Leineweber
Am Moritztor;Ahe;Alphons;;;Hädicke'sche Erben;"Genossenschaft ""Friedericianerhaus"" G.m.b.H.";;Amtsger. Rat a.D.;;BMV1;;;Major
Am Moritzzwinger;Ahlborn;Alwin;;;Haeßler'sche Erben;"Genossenschaft ""Preußenhaus""";;Amtsger. Rat.;;BMV2a;;;Maler
Am Mühlgraben;Ähle;Alwis;;;Hagenbüchner'sche Erben;Germania Loge (E. V.);;Amtsger. Sekr.;;BMV2b;;;Mauer
Am Ochsenkopf;Ahlers;Amalrich;;;Hammelmann'sche Erben;Gewerbebank;;Amtsger.Kanzleigeh.;;BMV3a;;;Maurer
Am Paradeplatz;Ahlfeld;Amand;;;Hartmann'sche Erben;Gußwerke Halle Fritz Böhme & Co. G.m.b.H.;;Amtsgericht Verwalt.;;BMV3b;;;Messerschmidt
Am Rathswerder;Ahlheit;Amandus;;;Heckert'sche Erben;Halle-Hettstedter Eisenb. Gesellsch. Akt.Ges.;;Amtsgerichts Sekretär;;BV1;;;Mühlenbauer
Am Röhrchen;Ahlig;Anastasius;;;Heinze'sche Erben;Hallesche Aktien-Bierbrauerei;;Amtsgerichtsassistent;;BV2a;;;Mühlknappe
Am Rosenbaum;Ahner;And.;;;Hempelsche Erben;Hallesche Dampf-Seifen- u. Parfümerie-Fabrik Stephan & Co.;;Amtsgerichtsdiener;;BV2b;;;Müller
Am Schloßberg;Ahnert;Andr.;;;Henze'sche Erben;Hallesche Genossenschafts-Buchdruckerei e.G.m.b.H.;;Amtsgerichtsrat;;BV3;;;Nadler
Am Schulberg;Ahrberg;Andr. Carl;;;Herbst'sche Erben;Hallesche Hartstein-Werke G.m.b.H.;;Amtsgerichtsrat a. D.;;BVK;;;Pfannenschmidt
Am Schulberge;Ahrend;Andr. Frdr.;;;Herold'sche Erben;Hallesche Malzfabrik Reinicke & Co. Aktiengesellschaft;;Amtsgerichtsrat a.D.;;BZL1;;;Pförtner
Am Steg;Ahrends;Andr. Sam.;;;Herrmann'sche Erben;Hallesche Maschinenfabrik u. Eisen-gießerei;;Amtsgerichtsrat Geh. Justizrat;;BZL2a;;;Putzer
Am Stege;Ahrendts;André;;;Hertzberg'sche Erben;Hallesche Pfännerschaft;;Amtsgerichtsrath;;BZL2b;;;Sänger
Amselweg;Ahrenholz;Andreas;;;Herzfeld'sche Erben;Hallesche Reitbahn G.m.b.H.;;Amtsgerichtsrath a.D.;;BZL3a;;;Sattler
An der Baderei;Ahrens;Andreas Ernst;;;Hoffmann'sche Erben;Hallesche Röhrenwerke Akt.Ges.;;Amtsgerichtssekretär;;BZL3b;;;Schachtmeister
An der eigenen Scholle;Ahrmann;Andreo;;;Holtzhausen'sche Erben;Hallesche Terrain -Verwertung G.m.b.H.;;Amtsmann;;ChM;;;Schaffner
An der Glauchaischen Kirche;Ahsmann;Anselm;;;Hößler'sche Erben;Hallescher Bau-Verein G.m.b.H.;;Amtsrat;;DA1;;;Schiffer
An der Gütchengrube;Aicke;Ant.;;;Huck'sche Erben;Hallescher Fußball-Klub v.1896 (E.V.);;Amtsrath;;DA2;;;Schirrmeister
An der Halle;Aigner;Ant. Ferd.;;;Huske'sche Erben;Hallescher Knappschaftsverein;;Amtsrath a. D.;;DA3;;;Schleifer
An der Hulbe;Akt;Ant. Lud.;;;Jacobsen'sche Erben;Hallescher Rollfuhr-Verein m. b. H.;;Amtsrath a.D.;;DD;;;Schlosser
An der Johanneskirche;Alander;Anton;;;Kaestner'sche Erben;Hallescher Ruderklub;;Amtsräthin-Witwe;;DD1;;;Schmelzer
An der Kuttelpforte;Alban;Ar.;;;Kähne'sche Erben;Hallescher Speditions-Verein Akt. Ges.;;Amtsräthinww;;DD2a;;;Schmidt
An der Marienkirche;Albaum;Armin;;;Kammrath'sche Erben;Hallescher Zweigverein d. evang. kirchl. Hilfsvereins;;Amtsricht.;;DD2b;;;Schmied
An der Merseburger Chaussee;Albecht;Arno;;;Kaufmann'sche Erben;Hamburger Engros - Lager Leopold Nußbaum G.m.b.H.;;Amtsrichter;;DD3;;;Schneider
An der Moritzkirche;Albeck;Arnold;;;Keil'sche Erben;Handelskammer;;Amtsvorsteher a.D.;;DK;;;Schreiber
An der Mühle;Alber;Arolt;;;Keller'sche Erben;Harrach'sche Stiftung;;Anatomiediener;;DO;;;Schuhmacher
An der Mühlpforte;Albers;Aron;;;Klinkhardt'sche Erben;"Hausgenossenschaft ""Sachsen-Thüringer-haus""";;Anatomieinspektor;;DStK;;;Schumacher
An der Mühlwüste;Albert;Arth.;;;Klose'sche Erben;Hausgenossenschaft E.G.m.b.H.;;Angest.;;EEZiG;;;Schuster
An der Petruskirche;Alberti;Arthur;;;Knanth'sche Erben;Häuteverwertung E.G.m.b.H.;;Angestellt;;EK1;;;Schweizer
An der Promenade;Alberts;Arthus;;;Knapp'sche Erben;Heilanstalt, Weidenplan G.m.b.H.;;Ankerwickler;;EK2;;;Seiler
An der Schleuse;Albertus;Artur;;;Knoblauch'sche Erben;Heimverein des Vereins Deutsch.Studen-ten Halle-Wittenberg;;Anstaltspastor;;EK2B;;;Stadler
An der Schwemme;Alberty;Asmus;;;Kobe'sche Erben;Hensel & Haenert, Fr. Akt.-Ges.;;Anstreicher;;Ek66;;;Stampfer
An der Steinmühle;Albertz;Aug;;;König'sche Erben;Hildebrand'sche Mühlenwerke Aktiengesellschaft;;Antiquar;;EM;;;Steiger
An der Universität;Albig;Aug.;;;Kopf'sche Erben;HofbrauhausCoburg Akt.Ges.;;Anwaltsdiener;;EZDiS;;;Steinbrecher
An der Zuckerraffinerie;Albrand;Aug. Carl;;;Köster'sche Erben;I. Kinderbewahr- Anstalt;;Apoth.;;FE1;;;Steinhauer
Anemonenweg;Albrecht;Aug. Daniel;;;Krause'sche Erben;I.Schreber-Verein Halle-Süd, (E.V.);;Apothek.;;FEL5;;;Steinmetz
Angerstr;Albrechts;Aug. Ferd.;;;Kreickemeyer'sche Erben;Immobilien-Erwerbs- u. Verwertungs-Gesellsch. m. b. H.;;Apothek. a. D.;;FELF2;;;Stellmacher
Angerstraße;Aldehoff;Aug. Fr.;;;Kuhndt'sche Erben;Johannisloge zu den fünf Türmen am Salzquell;;Apothekbes.;;GBZL;;;Täschner
Angerweg;Alder;Aug. Franz;;;Kühne'sche Erben;Kaiserlich Leopoldinisch - Karolinische deutsche Akademie der Naturforscher;;Apothekenbes.;;GE;;;Thürmer
Anhalter Str;Aleithe;Aug. Frdr.;;;Künniger'sche Erben;Kaliwerk Krügershall Akt.Ges.;;Apothekenbesitzer;;GE1;;;Tischer
Anhalter Straße;Aler;Aug. Glieb;;;Küstner'sche Erben;Katholische Kirchen-Gemeinde;;Apothekenverwalter;;GE2a;;;Tischler
Ankergasse;Alert;Aug. Heinr.;;;Landmann'sche Erben;Kinderbewahranstalts-Verein;;Apotheker;;GE2b;;;Töpfer
Ankerstr;Alex;Aug. Herm.;;;Langer'sche Erben;Kindervewahr-Anstalt;;Apotheker a.D.;;GE3;;;Tuchscheerer
Ankerstraße;Alexander;Aug. Hermann;;;Laue'sche Erben;Konsum- u. Produktiv -Genossenschaft Halle-Trotha E.G.m.b.H.;;Apothekergehilfe;;GE4a;;;Wächter
Annenstr;Alexi;Aug. Jul.;;;Lehmann'sche Erben;Kreiskommunal-Verband d. Saalkreises;;Apothekerww.;;GE4b;;;Waffenschmied
Annenstraße;Alicke;Aug. Max;;;Lengerr'sche Erben;Krüppel-Heil- u. Bildungsverein f. d. Reg. Bez. Merseburg;;Apparatenführer;;GMHO;;;Weber
Apfelweg;Alkan;Aug. Wilh.;;;Lenzner'sche Erben;Landeshauptmann der Provinz Sachsen;;Apparatführer;;GSF2;;;Weißgerber
Aprikosenweg;Allendorf;August;;;Leuscher'sche Erben;Landsmannschaft Hercynia;;Appellationsgerichtsrat a.D.;;GSF2b;;;Werkmeister
Artilleriestraße;Allenstein;August Ferdinand;;;Lindenhahn'sche Erben;Landsmannschaft Palaeomarchia;;Apperatführer;;HD;;;Wirth
Augustastr;Alleritz;August Friedrich;;;Lippert'sche Erben;Landwirtschaftskammer für die Provinz Sachsen;;Aquisiteur;;HGL;;;Zieler
Augustastraße;Alles;August Gustav;;;Loebeling'sche Erben;Leipziger Bierbrauerei z. Reudnitz Riebeck & Co. A.G.;;Arbeiter;;HH;;;Zimmerer
August-Bebel-Platz;Allewelt;August Heinrich;;;Loest'sche Erben;Lewin, J. G.m.b.H.;;Arbeiterin;;HL1;;;Zimmermann
August-Bebel-Str;Allihn;August Wilhelm;;;Lösch'sche Erben;"Loge ""Friedrich zur Standhaftigkeit""";;Arbeitshausinspektor;;HL2a;;;
August-Bebel-Straße;Allner;Auguste;;;Lucke's Erben;Loge z. d. drei Degen;;Arbeitsinspector;;HL2b;;;
Äußere Hordorfer Str;Allstadt;Augustin;;;Lüders'sche Erben;Märkerhaus E.V.;;Arbeitsinspektor;;HL3a;;;
Äußere Hordorfer Straße;Allstaedt;Axel;;;Lüttich'sche Erben;Mehnert & Müldener;;Arbeitsmann;;HL3b;;;
Äußere Lettiner Str;Alpers;B.;;;Mann'sche Erben;Melzer Ingenieur;;Arbiter;;HM;;;
Äußere Lettiner Straße;Alsdorf;Balduin;;;Marggraf'sche Erben;Mitteldeutsche Versich. Akt. Ges.;;Archidiaconus;;HMV;;;
Bäckergasse;Alsleben;Balth.;;;Matthes'sche Erben;Möbelmagazin Hallescher Tischlermeister e.G.m.b.H.;;Archidiakonus;;HP1;;;
Bäckerstr;Alt;Balthasar;;;Mattick'sche Erben;Most, Bernh. G.m.b.H.;;Architect;;HP2a;;;
Bäckerstraße;Alte;Barthold;;;Meißner'sche Erben;Neumarkt- Schützen- Gesellschaft;;Architekt;;HP2b;;;
Bahnhofstr;Altemeyer;Benj.;;;Mende'sche Erben;Norddeutsche Knappsch. Pens. Kasse;;Arkanist;;HP3a;;;
Bahnhofstraße;Altenbrand;Benjamin;;;Mentzel'sche Erben;Ortskrankenkasse des Saalkreises;;Arm. Kassendiener;;HP3b;;;
Barbarastr;Altenbrandt;Benno;;;Mische'sche Erben;Parkbad Halle a. S.;;Armaturenfbrk.;;HP4;;;
Barbarastraße;Altenburg;Berel;;;Mochau'sche Erben;Pflügerheim, Verein G.m.b.H.;;Armendiener;;HR;;;
Barfüßerstr;Altenkirch;Bern.;;;Moritz'sche Erben;Preußenhaus E.G.m.b.H.;;Armenkassendiener;;HSAV;;;
Barfüßerstraße;Altenstadt;Bernh;;;Müller'sche Erben;Preußische Lebens -Vers. Akt. Ges. zu Berlin;;Art. Lieutnant;;HSD1;;;
Bärgasse;Altenstaedt;Bernh.;;;Münter'sche Erben;Provinzial-Kommunal-Verband;;Artist;;HSD2;;;
Bartholomäusberg;Altenstein;Bernhard;;;Naundorf'sche Erben;Querfurter Special -Wurst- u. Fleisch-konserven-Fabrik G.m.b.H.;;Arzt;;HSD3;;;
Bauhof;Altermann;Bernhardt;;;Nebelung'sche Erben;Rauchfuß, W. Brauereien Halle u. Giebichenstein Akt. Gesellschaft;;Arzt prakt.;;HSEH;;;
Baumweg;Althaus;Bernhd.;;;Nitzfchke'sche Erben;Reichsbank;;Arzt San. Rat;;HsVfkW;;;
Bechers Hof;Althen;Bernhrd.;;;Ochsenknecht'sche Erben;Riebecksche Montanwerke Akt.Gesellsch.;;Arztgehilfe;;HVK;;;
Bechershof;Althoff;Berth.;;;Ochse'sche Erben;Ritter G.m.b.H.;;Ass. D. Kgl. Univ.Pol.;;Hz1;;;
Beerenweg;Altmann;Berthold;;;Otto'sche Erben;Ruderklub Nelson 1874;;Assekuranzinspektor;;Hz2;;;
Beesener Str;Altmeyer;Beruch;;;Pätz'sche Erben;Schultheiß-Brauerei Akt.Ges.;;Assess.;;Hz3;;;
Beesener Straße;Altrock;Betty;;;Pfeiffer'sche Erben;Schützen-Gilde Giebichenstein;;Assessor;;HzgM;;;
Beesener Weg;Altstädt;Blasius;;;Plettner'sche Erben;Silesenhaus G.m.b.H.;;Assistent;;HzH1;;;
Belfortstraße;Altwasser;Bodo;;;Preller'sche Erben;Sparkasse des Saalkreises;;Assistent a.D.;;HzH2;;;
Benkendorfer Str;Alvensleben;Botho;;;Pröpper'sche Erben;Stadtschützen-Gesellschaft;;Assistent am Landw. Institut;;HzH3;;;
Benkendorfer Straße;Am Ende;Br.;;;Richter'che Erben;Synagogen-Gemeinde;;Assistent am pataelog. Institut;;HzH4;;;
Berggasse;Aman;Bruno;;;Rieck'sche Erben;Tholuck'sches Konvikt;;Assistenzarzt;;HzHa;;;
Bergschenkenweg;Amann;Burghard;;;Riffelmann'sche Erben;Trotha-Sennewitzer Akt. Ziegelei-Gesellschaft zu Sennewitz;;Assistenzarzt a. D.;;HzM;;;
Bergstr;Amberger;C.;;;Rinck'sche Erben;v. Jena'sches Fräuleinstift;;Assistenzarzt a.D.;;HzSm;;;
Bergstraße;Ambrosius;C. Alb.;;;Roemer'sche Erben;Verbandsbank gewerbl. Genossenschaften E. G. m. b. H.;;Auct. Comissair;;IK1;;;
Berliner Str;Amen;C. C.;;;Ronicke'sche Erben;Verein alter Wittenberger (e. V.);;Auct. Commissar;;IK2;;;
Berliner Straße;Amend;C. F.;;;Rühlemann'sche Erben;Verein Erholungsheim f. Frauen u. Mädchen;;Auct.Commissar;;IK3;;;
Bernburger Str;Ammann;C. F. G.;;;Rulf'sche Erben;Verein f. Volkswohl;;Auctionator;;IK4;;;
Bernburger Straße;Ammon;C. Fr.;;;Rusche'sche Erben;Verein Pflügerheim in Halle a. S. e.G.m.b.H.;;Auctionskomissar;;IK5;;;
Bernhardtstraße;Amphlett;C. G.;;;Sachse'sche Erben;Vereinshaus-Genossensch.d.akad.landw. Vereins G.m.b.H.;;Auflader;;IM1;;;
Bernhardystr;Amthor;C. Ludwig;;;Saft'fche Erben;Vester G.m.b.H.;;Aufläder;;IM2;;;
Bernhardystraße;Andag;C. Phil.;;;Sander'sche Erben;Volkspark G.m.b.H.;;Aufmeister;;Im3;;;
Bertramstr;Anders;C. W;;;Saust'sche Erben;Walter-Stiftung;;Aufseh.;;IM4;;;
Bertramstraße;Andersen;C. W.;;;Schaaf'sche Erben;Wegelin& Hübner Akt.Ges.;;Aufseher;;IM5;;;
Beuchlitzer Weg;Anderson;C. Wilh.;;;Schaal'sche Erben;Werschen Weißenfelser Braunkohlen Akt. Ges.;;Aufseher a.D.;;JV1;;;
Beyschlagstr;Anders-Paltzow;C.H.;;;Scharfe'sche Erben;Wingolfshaus G.m.b.H.;;Aufwärter;;JV2;;;
Beyschlagstraße;Anders-Palzow;Camillo;;;Scheibe'sche Erben;Zillmainn & Lorenz Speditionsgesch.;;Aufzugwärt.;;JV3;;;
Birnenweg;Anders-Patzow;Car;;;Schliack'sche Erben;Zuckerraffinerie Akt.Ges.;;Augenarzt;;JV4;;;
Bismarckstr;Andersson;Carl;;;Schmidt'sche Erben;;;Auktionator;;JV5;;;
Bismarckstraße;Andrä;Carl Adolf;;;Schneider'sche Erben;;;Auktionskommissar;;JV6;;;
Blücherstr;Andrae;Carl Adolph;;;Schondorf'sche Erben;;;Ausfahrer;;JV7;;;
Blücherstraße;Andrag;Carl Andr.;;;Schrader'sche Erben;;;Aushilfsfeuerwehrm.;;KD13/15;;;
Blumenstr;Andratzek;Carl Ant.;;;Schreiber'sche Erben;;;Auskultator;;KD64;;;
Blumenstraße;Andre;Carl Anton;;;Schröder'sche Erben;;;Auto-Droschkenbes.;;KD70/71;;;
Blumenthalstraße;André;Carl Aug.;;;Schultze'sche Erben;;;Auto-Groß-Garag;;KD70/71NC;;;
Bockshörner;Andrè;Carl Aug. Wilh.;;;Schulze'sche Erben;;;Automech;;KM;;;
Böckstr;Andreas;Carl August;;;Schumacher'sche Erben;;;Automobilbes.;;KO4;;;
Böckstraße;Andree;Carl August Louis;;;Serner'che Erben;;;Autoreparatur;;KoE;;;
Bölbergasse;Andrée;Carl Christ.;;;Spaarmann'sche Erben;;;Autoschloss.;;LDH1;;;
Böllberger Weg;Andrejs;Carl Dan.;;;Spanneberg'sche Erben;;;Bäcker;;LDH2;;;
Borngasse;Andres;Carl E.;;;Sperhake'sche Erben;;;Bäcker Mstr;;LDH3;;;
Botanischer Garten;Andresen;Carl Eduard;;;Statsmann'sche Erben;;;Bäckerehrenobermstr. i. R.;;LDH4;;;
Brachwitzer Str;Andrzejewsky;Carl Emil;;;Steindorff'sche Erben;;;Bäckereiinhaber;;LDH5a;;;
Brachwitzer Straße;Anente;Carl Ernst;;;Stephan'sche Erben;;;Bäckereipächter;;LDH5b;;;
Brandbergweg;Angelroth;Carl F.;;;Stitz'sche Erben;;;Bäckereiwr;;LE;;;
Brandenburger Str;Angelrott;Carl Ferd.;;;Stockmar'sche Erben;;;Bäckergehilfe;;LH1;;;
Brandenburger Straße;Anger;Carl Fr.;;;Stoll'sche Erben;;;Bäckergeselle;;LH2;;;
Breite Str;Angerer;Carl Frdr.;;;Strachauer'sche Erben;;;Bäckerm.;;LH3;;;
Breite Straße;Angermann;Carl Frdr. Dav.;;;Teichmann'sche Erben;;;Bäckermeister;;LH4;;;
Breitestr;Angern;Carl Friedr.;;;Teller'sche Erben;;;Bäckermeister-Witwe;;LO;;;
